fecha_venta;familia;cantidad;gramos
2022-08-12;VAINILLA;1;1400
2022-08-13;CHOCOLATE;1;2550
2022-08-16;VAINILLA;1;5350
2022-08-16;FRUTILLA;1;550
2022-08-17;VAINILLA;1;1250
2022-08-17;VAINILLA;1;1400
2022-08-18;CHOCOLATE;1;4000
2022-08-19;VAINILLA;1;1550
2022-08-19;MENTA;1;350
2022-08-22;CHOCOLATE;1;4000
2022-08-22;VAINILLA;1;3500
2022-08-22;FRUTILLA;1;750
2022-08-22;VAINILLA;1;1400
2022-08-23;FRUTILLA;1;1850
2022-08-23;CHOCOLATE;1;2400
2022-08-23;VAINILLA;1;1500
2022-08-23;VAINILLA;1;850
2022-08-24;MENTA;1;350
2022-08-26;VAINILLA;1;1300
2022-08-27;MENTA;1;450
2022-08-30;VAINILLA;1;900
2022-08-30;VAINILLA;1;1950
2022-08-30;MENTA;1;900
2022-08-31;VAINILLA;1;1000
2022-08-31;VAINILLA;1;750
2022-09-02;CHOCOLATE;1;850
2022-09-05;CHOCOLATE;1;2450
2022-09-08;VAINILLA;1;1150
2022-09-08;VAINILLA;1;1350
2022-09-09;MENTA;1;600
2022-09-09;VAINILLA;1;1200
2022-09-09;CHOCOLATE;1;1800
2022-09-10;MENTA;1;350
2022-09-13;CHOCOLATE;1;2300
2022-09-13;CHOCOLATE;1;1950
2022-09-13;VAINILLA;1;1200
2022-09-13;FRUTILLA;1;800
2022-09-14;VAINILLA;1;1500
2022-09-14;CHOCOLATE;1;1150
2022-09-14;MENTA;1;650
2022-09-14;MENTA;1;1550
2022-09-15;VAINILLA;1;2150
2022-09-15;MENTA;1;600
2022-09-15;MANGO;1;1300
2022-09-15;VAINILLA;1;1450
2022-09-15;MENTA;1;600
2022-09-20;VAINILLA;1;1100
2022-09-23;FRUTILLA;1;600
2022-09-24;CHOCOLATE;1;2250
2022-09-24;MENTA;1;1200
2022-09-28;CHOCOLATE;1;1200
2022-09-28;FRUTILLA;1;500
2022-09-29;MENTA;1;900
2022-09-29;CHOCOLATE;1;1350
2022-09-30;CHOCOLATE;1;1250
2022-10-03;CHOCOLATE;1;1750
2022-10-03;CHOCOLATE;1;900
